Catalyst Products Export 
Report Generated at: Tue Oct 14 2025 23:46:23 GMT+0800 (China Standard Time)
ASIN,Product Name,Brand,Category,Revenue (Monthly),Units Sold (Monthly),Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight,Variant Differences
"B0DV9ZMJ8L","Pampers Diapers - Cruisers 360 - Size 7  17 Count  Babyproof up to 100% Leakproof Pull-On Diaper (Packaging May Vary)","Pampers","Baby","$514,836.55","54,365","$9.47","$7.60","$1.87","18","36","5","1","04/09/2025","Amazon.com","4.6","5 x 7.402 x 10.906 in","Large standard","1.389 lb","Size, Unit Count"
"B0FGBFMLMD","Frida Baby 3-in-1 Nose  Nail + Ear Picker + Frida Baby Medicine Pacifier  Medicine Syringe & Accu-Dose Pacifier","Frida Baby","Baby","$551,661.96","29,868","$18.47","$6.82","$11.65","47","3","7","1","07/02/2025","Amazon.com","5.0","N.A.","Small standard","N.A.","Style Name"
"B0CMQRCK36","Baby Montessori Sensory Toys for 0-6 6-12 Months  Baby Teether Teething Toys for Babies 0 3 6 9 12 18 Months  Newborn Infant Learning Developmental Toys Gifts for 1 2 Year Old Boys Girls","TOHIBEE","Baby","$382,997.16","29,484","$12.99","$6.84","$6.15","72","33","6","1","06/13/2025","Tohibee","4.7","2.83 x 4.25 x 4.25 in","Large standard","0.311 lb","Color"
"B0B58X869R","BIBS Pacifiers Colour Collection | Natural Rubber Baby Pacifier | Set of 2 BPA-Free Soothers | Made in Denmark | 0+ Months (Pack of 2) | Baby Blue / White","Bibs","Baby","$164,412.60","10,308","$15.95","$7.28","$8.67","102","23","6","1","01/08/2024","BIBS US","4.6","2.05 x 3.03 x 6.61 in","Large standard","0.09 lb","Color Name, Size Name"
"B0DSVSZH22","Cuddle Campus Silicone Pacifier Clip Holder with One Piece Design  Pack of 2 Soft Flexible Binky Clips with Texture for Baby Boy and Girl(6m+)","Cuddle Campus","Baby","$73,209.78","12,222","$5.99","$4.27","$1.72","126","2","5","1","03/17/2025","Cuddle Campus","4.0","0.512 x 1.772 x 11.299 in","Small standard","0.165 lb","Color Name, Size Name"
"B0F3Z4MZSK","Pampers Diapers - Swaddlers 360° - Size 5  17 Count  up to 100% Leakproof Comfy Dry Fit  Designed for Easy Changes  Pull On Baby Diaper","Pampers","Baby","$100,702.05","11,615","$8.67","$7.12","$1.55","166","5","5","1","04/07/2025","Amazon.com","5.0","4.76 x 7.6 x 10.39 in","Large standard","1.321 lb","Size, Unit Count"
"B0F9B5KM97","Boogie Maximum Strength Diaper Rash Bundle  Extra Strength Paste in Applicator Tube  4 oz. + Diaper Rash Cream Spray  1.7 oz.","Boogie","Baby","$234,476.82","13,809","$16.98","$7.69","$9.29","291","13","7","1","05/20/2025","Eleeo Brands","4.6","2.44 x 3.31 x 8.03 in","Large standard","0.529 lb","Size"
"B0DYTRQ2JF","Funbliss Fixed Headrest Baby Car Mirror  Car Mirror for Baby Compatible with Tesla and other vehicles 360° Rotation  Shatterproof Plastic  No Assembly Required","funbliss","Baby","$264,528.99","9,801","$26.99","$9.75","$17.24","345","29","7","1","02/28/2025","Funbliss","4.6","3.307 x 7.323 x 9.843 in","Large standard","1.014 lb","Color"
"B001CCUJOC","Similac Advance Infant Formula  Stage 2  Powder  30.8 Ounces (Pack of 4)","Similac","Baby","$1,576,205.40","10,955","$143.88","$31.41","$112.47","360","37","5","1","08/10/2012","Amazon.com","4.4","6.61 x 10.47 x 11.34 in","Large standard","8.931 lb","Size Name"
"B0CVR8P9FT","Safety 1st Grow and Go All-in-One Convertible Car Seat & onBoard 35 LT Adjustable Infant Car Seat Base","Safety 1st","Baby","$2,110,287.04","10,448","$201.98","$34.35","$167.63","408","8","8","1","02/16/2024","Amazon.com","4.2","N.A.","Small standard","N.A.","Color Name, Style Name"
"B0DZY139J8","Yoofoss Baby Sleep Sack 18-24 Months 0.5 TOG Baby Wearable Blanket  100% Organic Cotton Infant Toddler Sleeping Sack 2-Way Zipper Lightweight Sleep Sack  Grizzly","Yoofoss","Baby","$103,071.24","6,876","$14.99","$7.79","$7.20","431","2","5","1","03/10/2025","ruijia","4.5","2.05 x 5.67 x 10.2 in","Large standard","0.04 lb","Color Name, Size Name"
"B0FHP1KVQ9","Blissful Diary Baby Splat Mat for Under High Chair  50.4 x 50.4 Inch Wipeable Splash Mat  Waterproof and Washable  Anti-Slip Floor Protector  Gray","Blissful Diary","Baby","$33,821.20","1,880","$17.99","$7.34","$10.65","532","27","5","1","09/03/2025","BLISSFUL LIFE INC","4.8","0.512 x 9.764 x 13.386 in","Small standard","0.97 lb","Color Name"
"B0C4BHPM7L","Johnson's Baby Powder  Pure Cornstarch  Aloe & Vitamin E  22 Ounce (Pack of 2) - Packaging May Vary","Johnson's Baby","Baby","$222,940.80","7,741","$28.80","$5.31","$23.49","555","5","3","3","05/04/2023","Pro Services LLC","4.0","2.99 x 7.05 x 10.24 in","Large standard","3.091 lb","Size Name"
"B0BC4GVRT9","Hudson Baby Unisex Baby Plush Sleeping Bag  Sack  Blanket  Sleeveless Modern Rainbow  6-12 Months","Hudson Baby","Baby","$30,514.36","4,244","$7.19","$7.07","$0.12","563","8","5","2","08/27/2022","Amazon.com","4.3","2.402 x 9.37 x 12.283 in","Large standard","0.613 lb","Color Name, Size Name"
"B00QVPL08O","Similac Sensitive Infant Formula  Stage 2  Powder  29.8 Ounces (Pack of 4)","Similac","Baby","$448,825.00","3,250","$138.10","$30.46","$107.64","564","11","5","1","12/14/2014","Amazon.com","4.4","6.81 x 10.35 x 10.75 in","Large standard","8.71 lb","Size Name"
"B0DPJJR9TP","Burt's Bees Baby Essential Organic Cotton Fitted Crib Sheet  Breathable for Boy Girl Standard Crib & Toddler Mattresses","Burt's Bees Baby","Baby","$167,208.81","8,373","$19.97","$8.54","$11.43","577","19","7","1","01/10/2025","Amazon.com","5.0","2.165 x 6.575 x 9.449 in","Large standard","0.794 lb","Color Name, Size Name"
"B0FMS1BZ66","Momcozy Glass Breast Milk Pitcher  Milk Storage Container with Flat Lid & Handle Lid  Wide Mouth Leak-Resistant  Baby Formula Pitcher  Heat & Cold Resistant  2 PCS  32OZ Each (64OZ Total)","Momcozy","Baby","$253,562.48","5,032","$50.39","$15.63","$34.76","590","3","5","1","09/16/2025","Momcozy Official Store","5.0","5 x 9 x 10.5 in","Large standard","2.599 lb","Color Name, Size Name"
"B0FC44HB9X","Safety 1st Grow and Go All-in-One Slim Convertible Car Seat  Rear Facing  5-40 lbs  Forward Facing (30–65 lbs)  High Back Booster Seat 40-100 pounds  Black Phantom","Safety 1st","Baby","$1,161,527.40","7,260","$159.99","$88.05","$71.94","616","7","7","1","06/05/2025","Amazon.com","4.8","19 x 24.25 x 24.5 in","Extra-large","15.801 lb","Color Name, Style Name"
"B0D5BT2ZLK","GoBe Kids Small Snack Spinner Slide Bundle with Hand Strap and Sticker Sheet - Reusable Snack Container with 5 Compartment Dispenser and Lid | BPA/PVC Free | Dishwasher Safe | No Spill - Taro Purple","GoBe","Baby","$241,180.80","7,104","$33.95","$11.45","$22.50","640","9","6","1","05/27/2024","GoBe Kids","4.8","2.52 x 7.87 x 8.43 in","Large standard","1.261 lb","Color Name, Size Name"
"B0F3WSG197","Large Toy Storage Box with Lid  Sturdy Toys Storage Chest Bin Organizer Basket with Dividers for Kids  Boys  Girls  Nursery  Closet  Bedroom  Playroom 26""x17"" x17"" (Green and White)","Gowee","Baby","$274,351.77","7,623","$35.99","$14.43","$21.56","643","4","6","1","04/07/2025","gowee","5.0","2.99 x 13.39 x 17.36 in","Large standard","6.3 lb","Color"
"B0F9LC7B7T","HIPHOP PANDA 2-Pack Diaper Caddy Organizer - Nursery Storage Bin & Car Organizer for Diapers  Wipes  and Baby Essentials - Dual-Color Solid Set (Grey/Oatmeal)  Regular Size","HIPHOP PANDA","Baby","$63,256.68","6,332","$9.99","$8.80","$1.19","666","38","4","1","05/22/2025","HIPHOP PANDA","4.7","4.64 x 8.03 x 12.84 in","Large standard","1.57 lb","Color Name, Size Name"
"B0DDWRDTP6","2-Pack Dog Gate for Stairs Pet Gates for The House: Dog Gate Indoor Dogs Screen Mesh Gate for Doorways Stairways 29 inches Tall  30 inch Wide Fits 24–27'' Openi","Cupount","Baby","$132,362.94","6,306","$20.99","$11.38","$9.61","725","36","7","1","08/22/2024","CupountDirect","3.0","3.03 x 13.19 x 13.35 in","Large standard","0.639 lb","Size Name"
"B0D62SQ2X1","LittleHugs Toy Straps for Baby  Adjustable Toy Holder for Stroller Accessories  Silicone Tether Pacifier Clip  No Throw Travel Essential Leash for High Chair  Car Seat (4 Pack Macaron)","LittleHugs","Baby","$50,376.95","6,305","$7.99","$4.57","$3.42","755","36","7","1","06/04/2024","LittleHugs US","4.9","0.71 x 5.67 x 8.5 in","Small standard","0.181 lb","Color"
"B0F63PP3BT","Our Diapers | EWG Verified Safe & Plant-Based Diapers | Leak Protection | Soft Organic Cotton Shell | Chlorine-Free Diaper for Sensitive Skin | Size 4 (22-32 lbs) 108 Count","Healthybaby","Baby","$398,565.71","4,429","$89.99","$28.28","$61.71","778","30","5","1","04/29/2025","Fewer Better Things Inc.","3.8","9 x 11.6 x 15.3 in","Large bulky","9.05 lb","Size Name, Style Name"
"B0BTZ631MY","BIBS Pacifiers - Colour 4-Pack | BPA Free Baby Pacifier | Round Nipple Binkies | Natural Rubber Latex Soother | Made in Denmark | Size 0-6 Months | Haze Mix","Bibs","Baby","$105,843.30","3,534","$29.95","$9.63","$20.32","786","31","7","1","03/20/2023","BIBS US","4.2","3.11 x 3.7 x 6.46 in","Large standard","0.201 lb","Color Name, Size Name"
"B0F21J7F11","Jetec 10 Pieces Cabinet Locks for Babies  U-Shaped Proofing Drawers Safety Child Locks Adjustable  Easy to Use Childproof Latch for Knob Handle on Kitchen Door Storage Cupboard Closet (Brown White)","Jetec","Baby","$93,493.53","5,847","$15.99","$7.54","$8.45","863","13","7","1","03/20/2025","XiajiaPer","4.6","2.64 x 4.57 x 8.39 in","Large standard","0.71 lb","Color"
"B0DZQZXT26","Hello Bello Premium Training Pants  Size 4T-5T (38+ lbs) Surprise Pack - 72 Count  Hypoallergenic with Soft  Cloth-Like Feel - Assorted Patterns for Boys","Hello Bello","Baby","$252,361.88","7,012","$35.99","$23.98","$12.01","893","27","7","1","03/07/2025","Amazon.com","4.5","14.1 x 14.4 x 14.4 in","Large bulky","7.65 lb","Color Name, Size Name"
"B0F1F28V59","Hello Bello Mega Surprise Pack  Size 6 (35+ lbs)  136ct Hypoallergenic Assorted Diapers with a Soft  Cloth-Like Feel Plus 360 Ultra Gentle Unscented Baby Wipes in 6 Resealable Packs","Hello Bello","Baby","$467,412.82","5,398","$86.59","$32.71","$53.88","929","4","7","1","03/14/2025","Amazon.com","5.0","12.1 x 16.25 x 17 in","Large bulky","18.6 lb","Color Name, Size Name"
