Catalyst Products Export 
Report Generated at: Tue Oct 14 2025 23:44:47 GMT+0800 (China Standard Time)
ASIN,Product Name,Brand,Category,Revenue (Monthly),Units Sold (Monthly),Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight,Variant Differences
"B0C14WVKSN","COLOR WOW Xtra Large Bombshell Volimizer Super Size","COLOR WOW","Beauty & Personal Care","$1,428,952.00","37,604","$38.00","$11.24","$26.76","101","48","2","1","08/20/2023","Amazon","3.9","1.969 x 2.165 x 9.213 in","Large standard","0.893 lb","Size Name"
"B0BNNTJG56","KISS PowerFlex Maximum Speed Nail Glue  Ultra-Hold Super Strong Instant Bond Flex Formula  3g Each  3-Pack","KISS","Beauty & Personal Care","$568,932.15","63,285","$8.99","$2.07","$6.92","108","4","4","2","11/30/2022","E-Health & Beauty","4.6","N.A.","Small standard","N.A.","Number Of Items"
"B0FHPZLCHT","UNA GELLA Super Strong Gel Nail Glue for Press Ons: No U V Lamp Needed Glue Gel  Travel-Size 5ml Nail Adhesive for Press on Nails  Nail Tips&Acrylic Nails-Quick Dry  No Smell  Long-Lasting","UNA GELLA","Beauty & Personal Care","$499,990.23","62,577","$7.99","$4.24","$3.75","172","1","7","1","06/17/2025","UNA GELLA STORE","5.0","0.55 x 0.98 x 2.01 in","Small standard","0.02 lb","Pattern Name"
"B0FHJ74M5T","Olay Body Lotion for Women  Tone Enhancing with AHA Serum  Visibly Reduce Discolored Skin  24hr Moisture & Hydration  Fast Absorbing Formula  Vitamin B3 Complex  For All Skin Types  17 fl oz","Olay","Beauty & Personal Care","$292,076.25","26,625","$10.97","$8.01","$2.96","210","8","5","1","08/18/2025","Amazon.com","4.7","2.441 x 2.48 x 8.661 in","Large standard","1.257 lb","Scent, Size"
"B0FGXXGX7B","EACHY Personalized Makeup Bag  Travel Cosmetic Bags for Women with Zipper & Handle  Christmas or Birthday Gift for Mom  Wife and Friends (Letter C)","EACHY","Beauty & Personal Care","$782,553.80","32,620","$23.99","$12.07","$11.92","224","5","7","1","07/07/2025","Eachy-Lange","5.0","4.72 x 8.31 x 16.22 in","Large standard","0.549 lb","Color, Size"
"B00GH4W2Y0","Garnier Nutrisse Nourishing Color Creme  True Red [66] 1 ea","Garnier","Beauty & Personal Care","$739,473.70","43,118","$17.15","$3.56","$13.59","268","39","2","3","11/06/2013","Wisermerchant","4.4","2.6 x 3.31 x 6.42 in","Large standard","0.489 lb","N.A."
"B00GU681PY","Garnier Nutrisse Nourishing Color Creme  56 Medium Reddish Brown 1 ea (Pack of 3)","Garnier","Beauty & Personal Care","$1,293,587.64","43,206","$29.94","$5.48","$24.46","268","9","2","1","11/22/2013","great quality products...","3.0","3.386 x 6.535 x 7.717 in","Large standard","1.464 lb","N.A."
"B0FH649W1V","TIRTIR Mask Fit Ai Filter Cushion Foundation | AI-Like Semi-Matte Finish - Up to 72-Hour Medium to Full Coverage Korean BB Cushion Make up Beauty  #24W Soft Beige  0.63 Fl Oz","TIRTIR","Beauty & Personal Care","$552,800.00","22,112","$25.00","$8.42","$16.58","480","2","7","1","07/10/2025","TIRTIR. INC","4.5","1.26 x 3.74 x 3.11 in","Large standard","0.22 lb","Color Name, Size Name"
"B0FJZ71761","Glamnetic Press On Nails - Jet Black | Short Squoval Black Fake Nails with a Glossy Finish  Salon Quality Halloween Nails | 15 Sizes - 30 Nail Kit with Glue","Glamnetic","Beauty & Personal Care","$567,512.54","31,546","$17.99","$6.75","$11.24","514","1","5","1","07/24/2025","Glamnetic","5.0","0.748 x 2.756 x 3.78 in","Small standard","0.066 lb","Color"
"B0FP8RQ5QL","Long Purple Braiding Hair Pre Stretched Synthetic Braiding hair Extensions for Braids  Purple Hair Extensions for Stage Party Halloween Costume Cosplay","Arcpor","Beauty & Personal Care","$234,682.87","13,813","$16.99","$8.09","$8.90","523","37","7","2","08/30/2025","LoveBraid","4.6","2.32 x 5.87 x 8.19 in","Large standard","0.399 lb","Color Name, Size Name"
"B0DBRH97XT","tarte maneater mascara – Extreme Curl  Volume & Length with Conditioning Vitamin E  Longwear  Cruelty Free","tarte","Beauty & Personal Care","$252,285.00","16,819","$15.00","$6.30","$8.70","535","11","5","1","06/15/2025","Amazon.com","4.6","0.748 x 0.787 x 4.094 in","Small standard","0.044 lb","Color Name, Style Name"
"B0FD6Y9BX5","1/2 PCS Lymphatic Contour Face Brush for Sculpting – Anti-Puffiness  Detox & Lift  Improves Skin Glow & Absorption (2 Pcs Contour Face Brush)","ROKATY","Beauty & Personal Care","$233,456.28","17,972","$12.99","$6.84","$6.15","657","14","5","1","06/14/2025","ROKATY","4.3","1.65 x 4.13 x 6.02 in","Large standard","0.37 lb","Size"
"B01DJJ5CRY","L'Oreal Paris Feria Permanent Haircolor  R57 Intense Medium Auburn 1 ea (Pack of 3)","L'Oreal Paris","Beauty & Personal Care","$1,447,717.44","29,094","$49.76","$8.45","$41.31","835","18","4","6","03/28/2016","Wisermerchant","4.9","3.74 x 6.65 x 8.66 in","Large standard","1.96 lb","N.A."
"B0DV5N7LWV","Fazit Makeup Patches - Sweetheart Speckles - Face Glitter Makeup Speckles - Glow Up Makeup Patches - Face Glitter Speckles Patches - Cute Glitter Makeup Accessories For Women - 6 count","Fazit","Beauty & Personal Care","$352,243.71","22,029","$15.99","$6.45","$9.54","897","17","7","1","01/27/2025","Let's Fazit","4.4","0.2 x 4.29 x 6.89 in","Small standard","0.04 lb","Color"
"B0FD8VWSNJ","Vaseline Glazed and Glisten Golden Hour Body Gel Oil Glow Vanilla Cocoa Shimmering with Ultra-Hydrating Lipids and 100% Pure Cocoa Butter  6.8 Oz","Vaseline","Beauty & Personal Care","$143,044.59","15,947","$8.97","$4.84","$4.13","904","50","7","1","07/30/2025","Amazon.com","4.4","1.22 x 2.441 x 6.378 in","Large standard","0.472 lb","N.A."
"B0F9WSZRZC","BTArtbox Press On Nails Almond - Lavender Purple Short Press On Nails with Glue for Women  Opaque Soft Gel Glue On Nails in 16 Sizes - 32 Stick On Nails Kit  Orchid Dew","BTArtbox","Beauty & Personal Care","$342,851.28","22,872","$14.99","$6.30","$8.69","930","41","9","1","05/26/2025","BTArtbox","4.7","0.75 x 2.36 x 5.04 in","Small standard","0.071 lb","Color"
"B0BQK78QDB","Schwarzkopf Keratin Color Permanent Hair Color  1.99 Black Purple  1 Application - Professionally Inspired Permanent Hair Dye  for up to 80% Less Breakage vs Untreated Hair and upto 100% Gray Coverage","Schwarzkopf","Beauty & Personal Care","$150,581.92","15,272","$9.86","$4.91","$4.95","950","47","7","9","12/19/2022","Belize It Deals","4.5","2.2 x 4 x 6 in","Large standard","0.5 lb","Color Name, Size Name"
"B0FKSM8L9H","BIODANCE Pore Perfecting Collagen Peptide Serum  Skin Firming & Radiance Boost  Plumping  Pore Care  Makeup Prep Serum for All Skin Types  Korean Skincare  Stocking Stuffers | 1.01 fl.oz x 1 ea","BIODANCE","Beauty & Personal Care","$250,521.10","12,589","$19.90","$7.65","$12.25","971","49","7","1","08/01/2025","Biodance","4.7","1.65 x 1.73 x 4.13 in","Large standard","0.22 lb","Scent, Size"
