Catalyst Products Export 
Report Generated at: Tue Oct 14 2025 23:45:49 GMT+0800 (China Standard Time)
ASIN,Product Name,Brand,Category,Revenue (Monthly),Units Sold (Monthly),Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight,Variant Differences
"B0C5Z1ZKCZ","Levi's Men's 559 Relaxed Straight Jeans (Also Available in Big & Tall)  (New) Desert Taupe 34W X 34L","Levi's","Clothing, Shoes & Jewelry","$1,937,145.70","39,818","$48.65","$14.34","$34.31","12","2","6","1","05/22/2023","Amazon.com","5.0","1.772 x 12.008 x 14.409 in","Large standard","1.587 lb","N.A."
"B09JWYT8KB","COSUSKET Snug Fit Unisex Adult Onesie Pajamas  Flannel Cosplay Animal One Piece Halloween Costume Sleepwear Homewear Light Green","COSUSKET","Clothing, Shoes & Jewelry","$1,045,271.46","34,854","$29.99","$10.86","$19.13","21","18","7","1","10/20/2021","COSUSKET COSTUME","4.0","2.52 x 8.54 x 8.98 in","Large standard","1.171 lb","Color Name, Size Name"
"B0CMDYZLCM","Playtex Women's 18-Hour Ultimate Lift Wireless Full-Coverage Bra with Everyday Comfort","PLAYTEX","Clothing, Shoes & Jewelry","$562,246.85","51,535","$10.91","$6.78","$4.13","23","13","5","5","11/03/2023","Amazon","3.1","1.85 x 6.142 x 8.189 in","Large standard","0.243 lb","N.A."
"B097S4WLDL","Playtex Women's 18 Hour Ultimate Lift & Support Wireless Bra Us4745  2-Pack","PLAYTEX","Clothing, Shoes & Jewelry","$2,509,425.92","51,328","$48.89","$8.32","$40.57","23","40","3","1","06/23/2021","NY Lingerie","3.9","2.17 x 7.24 x 7.4 in","Large standard","0.399 lb","N.A."
"B09S6WD56R","Gildan Adult Ultra Cotton T-Shirt  Style G2000  Multipack  Dark Heather (3-Pack)  Small","Gildan","Clothing, Shoes & Jewelry","$1,318,065.87","71,751","$18.37","$9.27","$9.10","28","1","5","20","08/14/2025","Amazon","5.0","2.559 x 7.717 x 10.945 in","Large standard","1.065 lb","N.A."
"B09S6WFV9Q","Gildan Adult Ultra Cotton T-Shirt  Style G2000  Multipack  Gold (3-Pack)  X-Large","Gildan","Clothing, Shoes & Jewelry","$1,063,750.36","70,964","$14.99","$10.80","$4.19","28","3","5","20","02/10/2022","Amazon.com","3.9","3.5 x 11.5 x 17.2 in","Large standard","1.411 lb","N.A."
"B0CMDL87Z4","Playtex Women's 18-Hour Ultimate Lift Wireless Full-Coverage Bra with Everyday Comfort","PLAYTEX","Clothing, Shoes & Jewelry","$567,134.53","51,983","$10.91","$7.18","$3.73","33","3","5","7","11/03/2023","Amazon.com","5.0","1.85 x 6.299 x 9.803 in","Large standard","0.262 lb","N.A."
"B0CMDL4NFL","Playtex Women's 18-Hour Ultimate Lift Wireless Full-Coverage Bra with Everyday Comfort","PLAYTEX","Clothing, Shoes & Jewelry","$571,804.01","52,411","$10.91","$6.78","$4.13","33","6","5","5","11/03/2023","Amazon.com","3.8","1.575 x 5.472 x 9.409 in","Large standard","0.176 lb","Color Name, Number Of Items, Size Name"
"B097S43X8S","Playtex Women's 18 Hour Ultimate Lift & Support Wireless Bra Us4745  2-Pack","PLAYTEX","Clothing, Shoes & Jewelry","$2,880,486.18","52,382","$54.99","$9.24","$45.75","33","16","3","1","06/23/2021","Tech Xpertise","4.2","3.11 x 6.575 x 7.323 in","Large standard","0.333 lb","N.A."
"B091ZFB7QB","adidas Unisex Shower Slide Sandal  Team Royal Blue/White/Team Royal Blue  5 US Men","adidas","Clothing, Shoes & Jewelry","$964,220.00","48,211","$20.00","$9.51","$10.49","48","12","4","1","12/03/2021","Amazon.com","4.0","4.41 x 5.16 x 10.59 in","Large standard","0.679 lb","Color, Size"
"B0B1KH1WR3","Levi's Men's 559 Relaxed Straight Jeans (Also Available in Big & Tall)  Sea Pig  36W x 36L","Levi's","Clothing, Shoes & Jewelry","$1,844,730.98","36,902","$49.99","$15.57","$34.42","49","8","4","1","05/17/2022","Amazon.com","4.5","2.48 x 12.99 x 14.21 in","Large standard","1.72 lb","N.A."
"B08P567FKB","Levi's Men's 559 Relaxed Straight Jeans (Also Available in Big & Tall)  Fremont Cafe-Medium Indigo  42W x 32L","Levi's","Clothing, Shoes & Jewelry","$1,787,401.00","36,740","$48.65","$15.29","$33.36","49","4","6","1","11/26/2020","Amazon.com","5.0","2 x 14 x 16 in","Large standard","1.81 lb","N.A."
"B095XC6CWC","Levi's Men's 559 Relaxed Straight Jeans (Also Available in Big & Tall)  Ocean Blues-Medium Indigo  32W x 30L","Levi's","Clothing, Shoes & Jewelry","$1,663,551.75","36,845","$45.15","$14.92","$30.23","49","6","6","1","05/26/2021","Amazon.com","4.7","4.724 x 9.094 x 11.89 in","Large standard","1.4 lb","N.A."
"B0B1KBVFNV","Levi's Men's 559 Relaxed Straight Jeans (Also Available in Big & Tall)  Pelican EEL  34W x 30L","Levi's","Clothing, Shoes & Jewelry","$1,461,623.21","36,919","$39.59","$13.14","$26.45","49","10","4","1","05/17/2022","Amazon.com","4.8","1.69 x 13.11 x 13.58 in","Large standard","1.499 lb","N.A."
"B095X8R2LG","Levi's Men's 559 Relaxed Straight Jeans (Also Available in Big & Tall)  (New) Ocean Blues  38W x 34L","Levi's","Clothing, Shoes & Jewelry","$1,678,180.35","37,169","$45.15","$15.08","$30.07","49","7","6","1","05/26/2021","Amazon.com","4.1","2.76 x 13.58 x 15.71 in","Large standard","1.59 lb","N.A."
"B08P54DTS5","Levi's Men's 559 Relaxed Straight Jeans (Also Available in Big & Tall)  Fremont Cafe-Medium Indigo-Stretch  32W x 34L","Levi's","Clothing, Shoes & Jewelry","$1,796,303.95","36,923","$48.65","$15.37","$33.28","49","1","6","1","11/26/2020","Amazon.com","3.0","2.52 x 12.83 x 14.41 in","Large standard","1.57 lb","N.A."
"B081YYFPYC","Levi's Men's 559 Relaxed Straight Jeans (Also Available in Big & Tall)  Funky City-Dark Wash-Stretch  30W x 32L","Levi's","Clothing, Shoes & Jewelry","$1,788,130.75","36,755","$48.65","$15.29","$33.36","49","14","6","1","11/25/2019","Amazon.com","4.1","2.44 x 11.61 x 15.04 in","Large standard","1.541 lb","N.A."
