Catalyst Products Export 
Report Generated at: Tue Oct 14 2025 23:44:06 GMT+0800 (China Standard Time)
ASIN,Product Name,Brand,Category,Revenue (Monthly),Units Sold (Monthly),Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight,Variant Differences
"B0DPXTCVQJ","Zulay Kitchen Tornado Whisk Milk Frother with 4 AA Duracell Batteries - Triple Whisk for More Power - Handheld Coffee Frother with Stand - Drink Mixer for Lattes  Matcha & Protein Shakes","Zulay Kitchen","Home & Kitchen","$1,378,550.38","68,962","$19.99","$8.14","$11.85","39","5","9","1","12/09/2024","Zulay Deals","4.0","2.6 x 2.64 x 9.45 in","Large standard","0.571 lb","Color Name, Style Name"
"B07N1TNSPX","GORILLA GRIP Bath Rug Mat  Thick Soft Absorbent Chenille  Rubber Backing Quick Dry Microfiber Mats  Machine Washable Rugs for Shower Floor  Bathroom Runner Bathmat Accessories Décor  Contour  Yellow","GORILLA GRIP","Home & Kitchen","$1,318,916.22","59,978","$21.99","$9.81","$12.18","64","25","9","1","05/31/2024","GORILLA COMMERCE","4.0","4.2 x 5.3 x 10.3 in","Large standard","1.1 lb","Color Name, Style Name"
"B0DCYZZ2LV","BEDELITE Satin Pillowcase for Hair and Skin  Super Soft and Cooling Similar to Silk Pillow Cases 2 Pack with Envelope Closure  Gift for Women Men(20""x36"" King Size  Gleam)","BEDELITE","Home & Kitchen","$436,823.12","48,644","$8.98","$4.90","$4.08","114","1","7","1","08/13/2024","BEDELITE","4.0","0.71 x 8.54 x 11.61 in","Small standard","0.441 lb","N.A."
"B0F866KF58","Command Indoor Mini Light Clips  Damage Free Hanging Christmas Light Clips  Mini Wall Clips for Hanging Indoor Christmas Decorations  Lights and Cables  90 Clear Clips and 108 Strips","Command","Home & Kitchen","$898,977.97","39,103","$22.99","$8.99","$14.00","151","13","9","1","05/09/2025","Product Movement","5.0","2.2 x 4.65 x 10.83 in","Large standard","0.181 lb","Style"
"B0C6MQT323","Utopia Bedding Waterproof Pillow Protectors Zippered Queen Size (2 Pack  Mocha)  Zippered Pillowcases  Bed Bug Proof Pillow Encasement Covers 20 x 28 Inches","Utopia Bedding","Home & Kitchen","$375,364.26","37,574","$9.99","$6.27","$3.72","199","26","7","1","11/19/2023","Utopia Deals","4.5","1.73 x 7.05 x 8.74 in","Large standard","0.441 lb","Color Name, Size Name"
"B0DYJGC22L","Twin Sheets by Pure Bamboo  Genuine 100% Organic Viscose Derived from Bamboo Bed Sheet Set  Luxuriously Soft & Cooling  Double Stitching  2 Year Quality Promise (Twin  Jacquard Sand)","Pure Bamboo","Home & Kitchen","$2,752,535.89","34,411","$79.99","$20.39","$59.60","250","1","8","1","02/26/2025","Jellyfish Brands","5.0","2 x 9.5 x 13 in","Large standard","4.5 lb","Color, Size"
"B0D1LN6DR3","Zulay Kitchen Milk Frother Handheld Electric Whisk with AA Duracell Batteries – Durable Drink Mixer for Coffee  Lattes  Cappuccinos & More - Mint","Zulay Kitchen","Home & Kitchen","$470,627.70","36,230","$12.99","$6.84","$6.15","294","19","9","1","10/18/2024","Zulay Deals","4.0","1.85 x 1.89 x 9.26 in","Large standard","0.3 lb","Color Name, Style Name"
"B0F9WK8RCZ","DFXSZ Fall Pillow Covers 18x18 Set of 2 Fall Decorations Rust Green Yellow Pumpkin Throw Pillow Cases Soft Plush Faux Fur Wool Couch Cushion Case for Chair Sofa Bedroom Living Room Home Decor PTK02P18","DFXSZ","Home & Kitchen","$583,253.79","32,421","$17.99","$9.21","$8.78","316","1","7","1","05/26/2025","DFXSZ-US","5.0","0.83 x 9.53 x 12.02 in","Large standard","0.52 lb","Color Name, Size Name"
"B0CFWM4JKK","MCS Studio Gallery Classic 8x8 Picture Frame Black Woodgrain  Vertical & Horizontal Wall Hanging Large Picture Frame for Photos  Posters & Art Prints (1-Pack)","MCS","Home & Kitchen","$379,759.86","38,014","$9.99","$7.59","$2.40","332","13","7","1","N.A.","Amazon.com","4.2","1.22 x 11.929 x 12.008 in","Large standard","1.83 lb","Color, Size, Style"
"B0DKLCJ3YB","Bare Home Ultra-Soft Split Head Flex King Sheet Set - Luxury 1800 - Hydro-Brushed - Deep Pockets - Easy Fit - 4 Piece Set - Bedding Sheets & Pillowcases (Split Head Flex King  Turquoise)","Bare Home","Home & Kitchen","$2,426,096.70","30,330","$79.99","$20.39","$59.60","394","9","7","2","10/22/2024","Bare Home","3.9","4.75 x 10 x 12.5 in","Large standard","4.449 lb","Color, Size"
"B09S3KG88F","Furinno PASIR Book Shelf  4-Tier Modern Bookshelf  Open Shelves Bookcase 9"" x 12"" x 42""  for Living Room  Bedroom  Home Office  Green/White","Furinno","Home & Kitchen","$1,283,810.85","27,915","$45.99","$25.10","$20.89","399","47","7","10","03/04/2022","Amazon.com","4.1","2.56 x 12.38 x 46.38 in","Large bulky","20.75 lb","Color Name, Size Name"
"B0FGHFHYT6","NICETOWN 2 Panels Red Christmas Curtains W42 x L63 in  Rod Pocket Gold Stamping Xmas Tree Printed Window Treatments for Bedroom  Living Room  Thermal & Privacy Draperies for Holiday Party Home Decor","NICETOWN","Home & Kitchen","$662,462.85","22,883","$28.95","$11.38","$17.57","512","17","8","1","07/03/2025","NICETOWN","4.8","3.03 x 8.23 x 12.71 in","Large standard","1.98 lb","Color, Size"
"B0CWSB8RF6","Hearth & Harbor Luxury Soft 6 Piece Bed Sheet Set Extra Deep Pocket Fitted Sheets Fits Mattress up to 21""  Double Brushed Bedding  Full  Dusty Purple","Hearth & Harbor","Home & Kitchen","$618,826.90","20,662","$29.95","$12.56","$17.39","570","2","7","2","02/29/2024","Amazon.com","5.0","4.055 x 9.646 x 10.315 in","Large standard","3.417 lb","Color, Size"
"B0CF1ZDXP4","Black Purple Orange Party Streamers - GREATRIL Foil Fringe Backdrop for Hocu Birthdays Halloween Party Supplies - 3.2ft X 8.2ft - 2 Packs","GREATRIL","Home & Kitchen","$271,880.70","20,930","$12.99","$7.93","$5.06","596","13","7","1","08/08/2023","GREATRIL-Direct","4.9","1.1 x 6.69 x 11.77 in","Large standard","0.509 lb","Color"
"B0F6C8XN2N","Bedsure Heated Blanket Electric Throw - Thick Striped Flannel Electric Blanket  Heating with 4 Time Settings  6 Heat Settings  and 3-Hour Timer Auto Shut Off  Gift for Grandma (50x60 inches  Green)","Bedsure","Home & Kitchen","$555,987.32","9,268","$59.99","$17.63","$42.36","647","4","7","1","08/25/2025","Bedsure Essentials","5.0","4.57 x 12.24 x 12.64 in","Large standard","4.169 lb","Color Name, Size Name"
"B0DRW6H27B","Homeforia 15x18 Diploma Brown Frame  High End Dark Oak 15by18 Certificate Wood Frames with Mat 11x14  15 x 18 Walnut Wooden Document Frame  Graduation Degree Frames  Tempered Glass  Wall Kit  Set of 1","Homeforia","Home & Kitchen","$887,937.96","22,204","$39.99","$18.50","$21.49","671","3","6","1","N.A.","Homeforia","5.0","1.25 x 18 x 21.25 in","Large bulky","5.071 lb","Color, Size, Style"
"B07TX6SYR3","Sleep Philosophy True North Cozy Flannel Warm 100% Cotton Sheet - Novelty Print Animals Stars Cute Ultra Soft Cold Weather Bedding Set  King  Reindeer 4 Piece","Sleep Philosophy","Home & Kitchen","$462,214.60","10,345","$44.68","$20.34","$24.34","761","7","7","1","07/07/2019","Amazon.com","3.8","9.4 x 10 x 12 in","Large bulky","7.65 lb","Color Name, Size Name"
"B0D3D5C3WV","U-NICE HOME Reversible Sofa Cover Couch Cover for Dogs with Elastic Straps Water Resistant Furniture Protector for Pets Couch Cover for 3 Cushion Couch (Sofa  White/White)","U-NICE HOME","Home & Kitchen","$647,349.99","18,501","$34.99","$13.96","$21.03","795","20","7","1","05/06/2024","Unice Home","4.2","5.79 x 10.71 x 12.13 in","Large standard","2.489 lb","Color Name, Size Name"
"B0DP1G9Z4D","Glade 1-Wick Scented Candle Jar  Coastal Sunshine Citrus  Air Freshener Infused with Essential Oils  4.08 Oz  2 Count","Glade","Home & Kitchen","$19,057.68","2,941","$6.48","$6.26","$0.22","840","39","7","1","11/25/2024","Amazon.com","3.9","3.7 x 5.83 x 8.23 in","Large standard","1.59 lb","Scent Name"
"B0FJM4STM7","Awjcsv Couch Cover for Dogs Washable  Fuzzy Pet Couch Covers for 2 Cushion Sofa Pet Friendly  Non Slip Sofa Cover (White  23.6"" x 47""/60 x 120cm)","Awjcsv","Home & Kitchen","$389,997.00","15,300","$25.49","$11.81","$13.68","924","9","5","1","07/23/2025","Awjcsv","4.4","3.54 x 9.53 x 12.6 in","Large standard","1.87 lb","Color Name, Size Name"
"B0DWMFT4DB","CozyLux Satin Sheets Full Size - 4 Piece Cream Bed Sheet Set with Silky Microfiber  1 Deep Pocket Fitted Sheet  1 Flat Sheet  and 2 Pillowcases - Smooth and Soft","CozyLux","Home & Kitchen","$532,314.38","18,362","$28.99","$11.96","$17.03","927","1","9","1","02/10/2025","CozyLux","5.0","2.76 x 9.65 x 11.26 in","Large standard","2.82 lb","Color Name, Size Name"
"B0DB4ZGQF2","GENIMO Washable Area Rugs for Living Room  6x9 Modern Non Slip Rugs  Low Pile Lightweight Soft Print Rug for Bedroom  Dining Room  Home Office  Multi","GENIMO","Home & Kitchen","$790,751.94","10,406","$75.99","$26.94","$49.05","1,011","5","7","1","09/24/2024","GENIMO Direct","4.3","8.2 x 13 x 15 in","Large bulky","13.499 lb","Color Name, Size Name"
"B0FF4FB84X","Kakuje Compact Mirror  1X/3X Magnification LED Pocket Mirror with Nternal BIattery  Mini Mirror for Purse  Pocket Travel and Present (Purple)","Kakuje","Home & Kitchen","$135,666.85","11,315","$11.99","$5.85","$6.14","1,021","10","7","1","06/23/2025","QIAOCHU","4.4","0.669 x 2.795 x 3.583 in","Small standard","0.099 lb","Color Name"
"B0DNK76JKL","Amazon Basics-Metal Bed Frame  Non-Foldable Platform Bed  Easy Assembly  Queen  60W x 80L in  Black","Amazon Basics","Home & Kitchen","$496,237.28","8,272","$59.99","$32.14","$27.85","1,037","12","4","1","08/18/2025","Amazon.com","4.6","40.7 x 9.4 x 5.5 in","Large bulky","33.2 lb","Size Name, Style Name"
"B07FQKCN9Y","Twin XL Sheets - Breathable Luxury Sheets with Full Elastic & Secure Corner Straps Built In - 1800 Supreme Collection Extra Soft Deep Pocket Bedding Set  Sheet Set  Twin XL  Burgundy","Sweet Home Collection","Home & Kitchen","$357,168.00","14,882","$24.00","$10.64","$13.36","1,039","18","7","2","07/24/2018","Amazon.com","4.2","3 x 9.4 x 10.9 in","Large standard","2.35 lb","Color Name, Size Name"
"B0F59VCC96","4 Foam and Felt Filters for Shark Vacuum Navigator Lift Away Filter Replacement ZU503AMZ NV350 NV351 NV352 NV355 NV356E NV360 NV370 NV391 UV440 UV490 UV500 UV540 UV550 CU500 XFF350 XHF350","Colorfullife","Home & Kitchen","$60,554.40","5,485","$11.04","$8.42","$2.62","1,041","11","5","1","04/17/2025","Colorful life USA","3.6","5.354 x 6.929 x 6.969 in","Large standard","0.172 lb","Style Name"
