Catalyst Products Export 
Report Generated at: Tue Oct 14 2025 23:47:13 GMT+0800 (China Standard Time)
ASIN,Product Name,Brand,Category,Revenue (Monthly),Units Sold (Monthly),Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight,Variant Differences
"B0FF1SRB5L","16/3 10 FT Outdoor Extension Cord Waterproof  Weatherproof & Flame Retardant Black 3 Prong Power Cord Outside for Lawn & Garden  13 Amps 1625 Watts 125 VAC 16AWG SJTW  ETL Listed","Skrizcable","Tools & Home Improvement","$357,073.67","50,363","$7.09","$4.94","$2.15","21","2","7","1","06/21/2025","Skrizcable","4.0","2.68 x 3.94 x 7.64 in","Large standard","0.529 lb","Color Name, Size Name, Style Name"
"B0FD3Z15FN","X-Protector Furniture Pads Preparation Set - Includes Metal File  Microfiber Cloth & 20 Cleaning Wipes - Furniture Surface Prep Kit for Easy Installation of Furniture Pads!","X-Protector","Tools & Home Improvement","$389,587.65","55,735","$6.99","$4.51","$2.48","29","4","7","1","06/13/2025","NeoSales Corp","4.7","0.75 x 7.2 x 8.5 in","Small standard","0.291 lb","Size Name"
"B0DNMSQH21","zaa Bathtub Drain Hair Catcher  Premium Silicone Collapsible One Pack Drain Protector for Pop-Up and Regular Drains of Shower  Bathtub  Tub  Bathroom  Sink  Black","zaa","Tools & Home Improvement","$192,868.08","27,592","$6.99","$4.51","$2.48","157","11","4","1","11/20/2024","zaastore","4.1","0.75 x 5.16 x 5.24 in","Small standard","0.291 lb","Color Name"
"B0D7M2XQV6","Joomer Solar Fairy Lights  2-Pack Total 80FT 240LED Solar String Lights Outdoor Waterproof 8 Lighting Modes for Fence Party Garden Patio Yard Home Holiday Tree Outdoor Decoration (Red)","Joomer","Tools & Home Improvement","$230,363.87","19,213","$11.99","$6.22","$5.77","302","25","7","1","06/20/2024","Joomer Direct","4.0","0.75 x 5.55 x 6.69 in","Small standard","0.549 lb","Color Name, Size Name"
"B0DQ5NKHZD","DIYSELF 2 Pcs Plastic Razor Blade Scraper with 10 Pcs Blades  Plastic Scraper Tool for Adhesive Remover  Scrapers for Cleaning Stickers  Decals  Glass  Windows  Car  No Scratches (Blue)","DIYSELF","Tools & Home Improvement","$125,851.01","13,999","$8.99","$4.72","$4.27","327","17","7","1","12/11/2024","DIYSELF","4.1","0.63 x 5.43 x 7.01 in","Small standard","0.24 lb","Color Name, Size Name"
"B0DPKPDHX8","GUARD SHIELD Beige Tarp Heavy Duty Waterproof 30x40 Feet Outdoor Poly Tarps Cover Thick UV Resistant Canopy Tarpaulin with Grommets 10mil","GUARD SHIELD","Tools & Home Improvement","$1,696,475.25","12,475","$135.99","$46.96","$89.03","371","3","7","1","12/04/2024","GUARD SHIELD","4.6","19.6 x 15.7 x 12.6 in","Large bulky","42.792 lb","Color Name, Size Name"
"B0F23JTLHK","NAOEVO 10 Gauge Wire 3 Conductor Electrical Wire  10 AWG Stranded PVC Cord  12V Low Voltage/Tinned Copper/Flexible Cable for Automotive Wiring  Lamp Cord  Marine Cable (50FT)","NAOEVO","Tools & Home Improvement","$1,070,403.52","12,448","$85.99","$20.23","$65.76","427","2","7","1","05/23/2025","NAOEVO","4.5","4.81 x 9.57 x 9.65 in","Large standard","9.24 lb","Color Name, Size Name"
"B0F26K3F16","30 PCS Push Pins Picture Hanger Hooks  Double Headed Nails Push Pin Thumbtacks for Wall Hangings Picture  Decorative Small Hook Pins for Drywall Cork Board Home Office Photo Decorations (Bronze)","Hoaisun","Tools & Home Improvement","$87,040.60","12,470","$6.98","$4.33","$2.65","561","32","7","2","03/11/2022","Hoaisun","4.6","0.67 x 2.72 x 2.72 in","Small standard","0.11 lb","Style Name"
"B0DQKQJ5DH","DELITON Wooden Wall Hooks  4 Pack Acacia Adhesive Towel Hooks Sticky on Bathrooms  Kitchen  Entryway  Heavy Duty  Wall Decor","DELITON","Tools & Home Improvement","$16,992.99","1,701","$9.99","$5.87","$4.12","576","4","4","1","07/29/2025","DELITON-US","4.6","3.03 x 4.17 x 4.53 in","Large standard","0.619 lb","Color"
"B0DQPR73Z4","Rechargeable Flashlights High Lumens  7Mode Flashlights Rechargeable  Super Bright Flashlight  Adjustable Tactical Flashlight  High Powered Flash Light  LED Flashlight for Emergency Home 4Pack","ZioeYiue","Tools & Home Improvement","$78,834.23","1,577","$49.99","$14.01","$35.98","722","50","7","1","12/26/2024","LECHENG Tech","4.6","3.43 x 3.7 x 6.77 in","Large standard","1.676 lb","Size"
"B0DGLCTKZ6","Bathroom Robe Towel Hooks Wall Hook Holder Heavy Duty Door Hanger Towel Robe Clothes Cabinet Closet Sponges Hook for Bathroom Bedroom Kitchen Hotel Pool 4 Packs(Bright Gold)","Homagic","Tools & Home Improvement","$104,255.64","10,436","$9.99","$5.87","$4.12","732","10","9","1","09/10/2024","Topspeeder Technology Co.,Ltd","4.1","2.48 x 3.39 x 6.5 in","Large standard","0.571 lb","Color Name"
"B0CHJDBTRS","Seatery Bathroom Sink Stopper  Tub Stopper  Bathtub Drain Stopper  Bath Tub Plug  Bathtub Drain Cover  Bathtub Drain Plug  Sink Drain Cover  Sink Plug，Black","Seatery","Tools & Home Improvement","$85,485.91","9,509","$8.99","$4.63","$4.36","753","6","5","1","09/07/2023","seatery","5.0","0.43 x 6.14 x 7.76 in","Small standard","0.09 lb","Style Name"
"B07Z8QJ7Y3","Frost King V83M Extra Strength Indoor Shrink Window Kits","Frost King","Tools & Home Improvement","$58,527.50","5,710","$10.25","$2.53","$7.72","767","23","2","10","10/17/2019","American Tool Supply","3.6","1.06 x 8.15 x 8.78 in","Large standard","0.291 lb","Size Name, Style Name"
"B0133ZM8P8","Mohawk Fil-Stik Wax Putty Stick for Wood Repair  Aegean Mist M230-1500  1 Count","M MOHAWK","Tools & Home Improvement","$50,714.04","7,163","$7.08","$23.05","N.A.","780","17","8","2","03/02/2016","eSales Supply","3.6","1 x 4 x 1 in","Large bulky","528 oz","Color Name"
