JUNGLESCOUT WEBAPP CSV EXPORT
Report Generated at: Tue Oct 14 2025 23:31:32 GMT+0800 (China Standard Time)
Keyword,市场机会分数,总销量 - 净收入,价格 - 净收入,搜索量 - 30 Day Exact,搜索关键词以开始 - 平均亚马逊费用,搜索关键词以开始 - 平均每日BSR,竞争程度,季节性/旺季月份,最后更新
"electric toenail clippers","9","1,549","$30.79","18,142","169%","338%","非常低","高","10月 12, 2025"
"half wigs","8","978","$81.14","16,557","16%","31%","非常低","高","10月 12, 2025"
"empire hair","8","971","$42.87","11,919","36%","42%","低","高","10月 13, 2025"
"human hair half wigs for black women","8","1,113","$98.70","9,048","5%","54%","低","低","10月 14, 2025"
"hera cushion","9","1,556","$43.91","8,302","50%","50%","非常低","中","10月 14, 2025"
"espoir foundation","8","933","$37.94","7,454","244%","71%","非常低","高","10月 11, 2025"
"remington head shaver","7","1,718","$78.19","7,244","110%","57%","中","非常低","10月 13, 2025"
"half wigs human hair","8","1,341","$96.19","6,841","32%","69%","低","非常低","10月 14, 2025"
"hourglass palette","8","1,435","$56.00","6,638","92%","34%","低","高","10月 12, 2025"
"human hair half wigs","7","1,418","$89.00","4,768","56%","46%","中","非常低","10月 14, 2025"
"regenix","10","2,448","$48.69","3,950","25%","43%","非常低","低","10月 13, 2025"
"5% minoxidil foam","7","1,770","$36.09","3,811","0%","34%","中","中","10月 13, 2025"
"bath jet","7","1,971","$56.02","3,169","44%","64%","中","非常高","10月 14, 2025"
"copper red wig","7","882","$35.47","3,059","76%","69%","低","非常低","10月 14, 2025"
"grey lace front wig","7","876","$46.79","2,648","73%","30%","低","低","10月 13, 2025"
"kryolan makeup","8","2,574","$39.03","2,243","7%","34%","低","非常高","10月 14, 2025"
"brazilian body wave bundles","7","1,376","$87.67","1,859","100%","35%","中","低","10月 13, 2025"
"belly tightening cream","9","2,222","$35.34","1,028","0%","58%","低","中","10月 14, 2025"
