JUNGLESCOUT WEBAPP CSV EXPORT
Report Generated at: Tue Oct 14 2025 23:32:54 GMT+0800 (China Standard Time)
Keyword,市场机会分数,总销量 - 净收入,价格 - 净收入,搜索量 - 30 Day Exact,搜索关键词以开始 - 平均亚马逊费用,搜索关键词以开始 - 平均每日BSR,竞争程度,季节性/旺季月份,最后更新
"witch costume women","8","1,088","$38.56","1,062,479","296%","3164%","低","非常高","10月 13, 2025"
"plus size cocktail dress","8","2,760","$44.89","654,825","98%","850%","低","非常低","10月 14, 2025"
"wednesday addams costume girls","8","1,071","$35.55","508,721","2340%","12036%","非常低","非常高","10月 14, 2025"
"morticia addams costume","8","918","$41.60","500,357","143%","4883%","低","非常高","10月 12, 2025"
"raven costume","8","1,880","$32.68","373,308","142%","1675%","低","非常高","10月 14, 2025"
"halloween costumes for boys","10","4,648","$34.21","361,545","298%","4450%","非常低","非常高","10月 11, 2025"
"long sleeve dress","8","2,405","$34.28","360,088","51%","96%","中","非常低","10月 11, 2025"
"mock neck sweatshirt","10","2,219","$31.13","358,840","105%","481%","非常低","低","10月 13, 2025"
"long sleeve dresses","8","4,218","$31.33","325,392","208%","220%","中","非常低","10月 12, 2025"
"catwoman costume","7","896","$62.33","321,307","292%","883%","低","非常高","10月 13, 2025"
"daphne costume women","7","757","$34.52","302,593","263%","1372%","低","高","10月 13, 2025"
"baggy jeans","7","3,751","$37.98","299,126","-6%","52%","高","非常低","10月 14, 2025"
"alien costume","8","2,261","$40.67","290,273","249%","322%","中","高","10月 14, 2025"
"wednesday addams costume women","9","1,201","$39.87","289,730","280%","7273%","非常低","非常高","10月 13, 2025"
"cashmere sweaters for women","10","3,458","$42.41","286,359","76%","241%","非常低","中","10月 13, 2025"
"tinkerbell costume for women","8","805","$33.80","280,040","185%","660%","低","中","10月 13, 2025"
"wednesday addams costume","9","1,211","$35.14","270,618","32%","4066%","非常低","中","10月 11, 2025"
"alice in wonderland costume","7","803","$35.98","267,571","147%","324%","低","非常高","10月 13, 2025"
"burnt orange dress","9","6,119","$45.99","261,187","50%","234%","低","非常低","10月 13, 2025"
"coach bag","8","1,366","$395.20","245,392","7%","45%","低","非常低","10月 14, 2025"
"formal dresses","8","5,374","$53.29","239,139","25%","85%","中","中","10月 12, 2025"
"spiderman costume adult","9","1,298","$49.02","235,694","114%","408%","非常低","高","10月 13, 2025"
"playboy bunny costume","8","942","$45.94","225,285","170%","242%","非常低","非常高","10月 13, 2025"
"woody costume adult","8","922","$45.39","220,249","356%","1650%","非常低","非常高","10月 13, 2025"
"dalmatian costume adult","7","1,349","$30.66","218,882","328%","2406%","中","非常高","10月 13, 2025"
"gomez addams costume","8","877","$50.35","217,833","226%","3725%","非常低","高","10月 13, 2025"
"mario costume adult","9","1,135","$31.96","213,278","540%","1161%","非常低","高","10月 12, 2025"
"womens lounge set","8","15,461","$34.77","210,733","27%","128%","中","非常低","10月 12, 2025"
"nightwing costume","7","966","$41.99","204,477","245%","1243%","低","非常高","10月 13, 2025"
"fairy dress","8","1,974","$34.87","195,611","80%","68%","低","低","10月 14, 2025"
"chucky costume for kids","7","916","$31.76","173,164","240%","3532%","低","非常高","10月 13, 2025"
"raven costume women","8","875","$31.88","171,730","524%","2108%","非常低","低","10月 13, 2025"
"long sleeve wedding guest dress","8","4,721","$44.46","168,645","38%","253%","中","低","10月 13, 2025"
"witch dress","8","1,409","$37.67","167,240","215%","723%","低","非常高","10月 13, 2025"
"suede jacket women","10","3,694","$58.28","153,044","122%","516%","非常低","高","10月 14, 2025"
"nike sweatpants for men","9","2,934","$51.94","149,086","10%","30%","低","高","10月 11, 2025"
"ricky bobby costume","8","1,237","$54.44","143,787","408%","960%","低","非常高","10月 14, 2025"
"sweat set","9","4,261","$42.19","130,945","33%","140%","低","非常低","10月 13, 2025"
"dorothy costume for girls","9","1,207","$33.97","129,541","219%","735%","非常低","非常高","10月 14, 2025"
"black corset dress","8","2,359","$42.29","126,361","112%","103%","中","低","10月 12, 2025"
"suede bag","8","1,073","$68.75","125,488","30%","729%","低","中","10月 12, 2025"
"western dress","7","1,977","$38.39","125,008","13%","37%","中","非常低","10月 12, 2025"
"morticia addams dress","7","860","$40.25","124,245","137%","767%","低","非常高","10月 14, 2025"
"elphaba costume","8","977","$41.99","122,829","140%","215%","非常低","非常高","10月 14, 2025"
"barn jackets for women","7","1,008","$62.58","120,438","48%","1038%","低","高","10月 13, 2025"
"clawdeen wolf costume","7","1,046","$33.09","120,042","166%","1656%","低","中","10月 13, 2025"
"crayon costume adult","9","1,125","$31.98","119,734","736%","2527%","非常低","非常高","10月 14, 2025"
"pirate dress","7","1,736","$34.47","117,389","171%","232%","中","非常高","10月 12, 2025"
"plaid dress","7","1,817","$34.62","115,199","52%","154%","中","低","10月 13, 2025"
"glinda costume","7","1,810","$34.37","109,482","136%","290%","中","非常高","10月 11, 2025"
"deadpool costume for kids","9","2,741","$40.03","109,469","207%","580%","低","非常低","10月 14, 2025"
"viking costume men","9","1,321","$42.76","108,859","108%","236%","非常低","非常高","10月 13, 2025"
"kids inflatable costume","9","2,435","$41.28","106,337","262%","999%","低","非常高","10月 13, 2025"
"scream costume kids","7","1,143","$32.84","106,303","607%","2603%","中","非常高","10月 14, 2025"
"black lace skirt","7","1,238","$30.05","103,605","109%","137%","中","非常低","10月 13, 2025"
"vector costume","8","907","$39.49","101,606","257%","668%","低","中","10月 13, 2025"
"dorothy costume","8","1,188","$34.92","100,551","264%","1124%","低","非常高","10月 13, 2025"
"pennywise costume women","8","862","$30.82","100,004","301%","2370%","低","低","10月 13, 2025"
"bangles","8","2,263","$41.09","99,556","0%","30%","低","非常低","10月 11, 2025"
"mother of the groom dresses","9","1,240","$84.39","98,415","10%","105%","非常低","低","10月 12, 2025"
"happy gilmore jersey","8","835","$34.37","98,039","155%","760%","非常低","高","10月 12, 2025"
"brown leather jacket","9","3,614","$47.59","96,328","65%","259%","低","高","10月 11, 2025"
"suede purse","8","769","$43.65","95,973","64%","714%","非常低","低","10月 12, 2025"
"witch dress for women","8","1,107","$34.68","95,968","248%","1065%","低","非常高","10月 12, 2025"
"flapper dress","7","785","$45.22","95,055","105%","106%","低","中","10月 14, 2025"
"couple costumes","8","750","$35.67","94,615","279%","1442%","低","非常高","10月 14, 2025"
"graphic hoodies","8","1,134","$36.98","94,609","-3%","53%","低","低","10月 13, 2025"
"fleece vest","9","3,328","$41.38","94,003","45%","373%","低","非常高","10月 13, 2025"
"wednesday costume","8","1,718","$34.87","89,703","107%","2075%","低","非常高","10月 13, 2025"
"brown cardigan","9","4,164","$37.30","88,279","76%","293%","低","非常低","10月 14, 2025"
"white boots for girls","7","1,524","$34.24","87,241","289%","1344%","中","非常高","10月 13, 2025"
"anakin skywalker costume adult","8","1,374","$64.99","86,936","659%","2003%","低","非常高","10月 13, 2025"
"boo costume monsters inc toddler","8","934","$34.29","84,474","249%","1170%","非常低","非常高","10月 13, 2025"
"burgundy boots","9","2,807","$59.79","82,753","114%","578%","低","高","10月 12, 2025"
"red leather jacket","8","1,309","$44.09","82,733","88%","81%","低","低","10月 13, 2025"
"couples costume","7","750","$31.67","82,020","372%","2261%","低","非常高","10月 13, 2025"
"abrigos de mujer invierno en oferta","7","1,413","$41.99","81,903","15%","74%","中","非常高","10月 14, 2025"
