JUNGLESCOUT WEBAPP CSV EXPORT
Report Generated at: Tue Oct 14 2025 23:30:02 GMT+0800 (China Standard Time)
Keyword,市场机会分数,总销量 - 净收入,价格 - 净收入,搜索量 - 30 Day Exact,搜索关键词以开始 - 平均亚马逊费用,搜索关键词以开始 - 平均每日BSR,竞争程度,季节性/旺季月份,最后更新
"fall wreath","7","1,408","$33.06","1,002,566","46%","4861%","中","非常高","10月 13, 2025"
"boneless couch","8","799","$438.44","939,390","135%","138%","低","低","10月 14, 2025"
"christmas garland","8","916","$37.28","337,513","142%","531%","低","非常高","10月 13, 2025"
"fall wreaths","8","1,168","$38.29","90,036","12%","3043%","低","高","10月 13, 2025"
"cloud sofa","8","807","$604.99","84,275","30%","60%","低","非常低","10月 14, 2025"
"cedar garland","8","1,033","$40.77","62,362","173%","1058%","非常低","非常高","10月 14, 2025"
"oktoberfest","8","2,081","$30.27","58,260","116%","1233%","中","非常高","10月 13, 2025"
"hocus pocus halloween decorations","8","1,072","$30.34","55,273","73%","1799%","非常低","低","10月 12, 2025"
"freeze dryer machine","9","792","$77.02","32,479","96%","43%","非常低","非常低","10月 12, 2025"
"entertainment center for living room","9","1,631","$115.48","32,259","704%","425%","非常低","低","10月 13, 2025"
"halloween figurines","7","1,656","$65.67","30,871","53%","806%","中","非常高","10月 14, 2025"
"sectional sofas for living room","9","921","$982.14","29,808","0%","98%","非常低","非常低","10月 14, 2025"
"halloween sheets","8","2,287","$37.22","26,505","-22%","664%","低","中","10月 13, 2025"
"garland for mantle","7","1,042","$32.58","25,023","257%","376%","低","非常高","10月 14, 2025"
"arboles de navidad","7","1,570","$103.84","24,128","250%","612%","中","非常高","10月 13, 2025"
"gilmore girls blanket","8","1,161","$32.69","22,919","-21%","215%","低","非常高","10月 12, 2025"
"pine garland","8","1,141","$34.38","22,617","94%","306%","低","非常高","10月 12, 2025"
"halloween bedding","10","3,955","$39.44","20,353","-33%","550%","非常低","中","10月 14, 2025"
"arbol de navidad con luces","8","1,103","$98.80","20,236","136%","257%","低","非常高","10月 14, 2025"
"plaid tablecloth","7","1,489","$34.84","19,420","23%","44%","中","非常高","10月 13, 2025"
"minecraft advent calendar","8","1,253","$34.53","17,254","88%","968%","低","非常高","10月 13, 2025"
"halloween trees","8","771","$44.29","17,037","59%","602%","非常低","非常高","10月 13, 2025"
"cordless steam mops for floor cleaning","10","8,516","$95.39","16,596","475%","68%","非常低","低","10月 13, 2025"
"portable folding tables","9","5,067","$55.88","16,379","27%","185%","低","非常低","10月 09, 2025"
"colchon queen size","7","1,814","$254.58","14,986","26%","39%","中","非常低","10月 14, 2025"
"vanity table with mirror","7","865","$165.10","14,945","106%","77%","低","低","10月 14, 2025"
"boy smells","7","1,095","$40.92","12,930","72%","80%","低","低","10月 13, 2025"
"halloween comforter","8","800","$35.17","12,609","-5%","523%","低","中","10月 13, 2025"
"makeup vanity with storage","8","1,058","$152.98","11,981","119%","90%","低","非常低","10月 12, 2025"
"smart nightstand","7","1,228","$124.39","11,913","26%","43%","中","非常低","10月 14, 2025"
"white christmas tree prelit","8","765","$88.99","9,152","93%","192%","低","非常高","10月 14, 2025"
"mug shelf","8","2,332","$46.82","8,594","-4%","36%","中","低","10月 11, 2025"
"white nightstand with drawers","8","1,535","$93.75","8,505","-14%","37%","低","非常低","10月 12, 2025"
"dishwasher safe humidifier","7","1,952","$85.69","7,703","11%","86%","中","非常高","10月 14, 2025"
"spin chair","8","1,391","$54.89","7,664","49%","35%","低","低","10月 14, 2025"
"tocador de maquillaje","8","1,343","$140.56","7,553","98%","61%","低","高","10月 14, 2025"
"sensory chairs for kids","8","1,236","$71.24","7,489","59%","68%","低","非常低","10月 14, 2025"
