JUNGLESCOUT WEBAPP CSV EXPORT
Report Generated at: Tue Oct 14 2025 23:35:06 GMT+0800 (China Standard Time)
Keyword,市场机会分数,总销量 - 净收入,价格 - 净收入,搜索量 - 30 Day Exact,搜索关键词以开始 - 平均亚马逊费用,搜索关键词以开始 - 平均每日BSR,竞争程度,季节性/旺季月份,最后更新
"outdoor cat shelter","8","895","$81.38","36,927","92%","111%","低","非常高","10月 13, 2025"
"feral cat shelter","8","818","$77.94","8,969","57%","75%","低","非常高","10月 14, 2025"
"dog proof cat feeding station","8","1,043","$81.08","8,169","0%","31%","低","中","10月 09, 2025"
"tree cat tree","8","1,479","$217.69","4,216","36%","45%","低","非常低","10月 11, 2025"
"purina pro plan kitten","9","3,739","$36.06","3,917","1%","31%","低","非常高","10月 14, 2025"
"orijen kitten food","8","1,455","$31.67","2,964","21%","66%","低","非常低","10月 14, 2025"
"automatic cat litter boxes","8","2,390","$234.14","2,864","-31%","127%","中","高","10月 14, 2025"
"dr marty cat food","7","810","$35.43","2,834","41%","52%","低","非常低","10月 14, 2025"
"portland pet food","8","3,942","$33.42","2,729","1%","86%","中","中","10月 14, 2025"
"dog couch large","8","6,722","$87.31","1,965","7%","38%","中","低","10月 14, 2025"
"disposable cat litter trays","7","1,294","$38.94","1,842","65%","32%","中","低","10月 14, 2025"
"purina pro plan kitten food dry","10","3,012","$32.77","1,741","6%","102%","非常低","非常低","10月 14, 2025"
"dog hip support","9","3,261","$41.27","1,064","0%","53%","低","低","10月 14, 2025"
"electric dog collar fence","8","1,058","$158.47","1,033","26%","39%","非常低","低","10月 13, 2025"
"purina pro plan cat food kitten","9","3,937","$34.76","1,020","-6%","54%","低","中","10月 09, 2025"
"pro plan kitten food dry","10","3,535","$34.76","1,017","-10%","46%","非常低","中","10月 08, 2025"
