JUNGLESCOUT WEBAPP CSV EXPORT
Report Generated at: Tue Oct 14 2025 23:35:50 GMT+0800 (China Standard Time)
Keyword,市场机会分数,总销量 - 净收入,价格 - 净收入,搜索量 - 30 Day Exact,搜索关键词以开始 - 平均亚马逊费用,搜索关键词以开始 - 平均每日BSR,竞争程度,季节性/旺季月份,最后更新
"garage storage systems","8","2,579","$594.81","4,706","17%","30%","中","低","10月 14, 2025"
"element fire extinguisher","9","760","$46.63","3,263","-32%","60%","非常低","低","10月 14, 2025"
"wave lamp","7","1,063","$35.82","2,870","-11%","54%","低","高","10月 13, 2025"
"black light spot light","7","1,622","$35.94","2,693","35%","124%","中","非常高","10月 13, 2025"
"cloud lights for bedroom","7","822","$49.71","2,571","96%","49%","低","非常低","10月 14, 2025"
"corro protec anode rod","7","1,456","$106.77","2,177","53%","187%","中","低","10月 13, 2025"
"wainscoting kit","8","755","$71.19","1,941","57%","40%","低","非常低","10月 14, 2025"
"magnifying lamps","8","1,128","$45.71","1,758","18%","48%","低","非常低","10月 14, 2025"
"led skylight","9","1,121","$249.16","1,203","1%","36%","非常低","低","10月 14, 2025"
"battery operated uplights","8","1,475","$104.46","1,143","34%","43%","低","低","10月 11, 2025"
